п/п,№,ФИО,ВУЗ/ филиал,ВУЗ/ филиал,Код направления,Группа ООП 2023-2024,Программа ЦК,Группа ЦК,
341,12,653930e5a04fb531ff865cc0,ВА МВД,подготовки экспертов-криминалистов и оперативных сотрудников полиции (ФПЭК и ОСП),40.05.03 Судебная экспертиза,323,СУБД,СУБД-1,
342,24,653957bda04fb531ff866191,ВолГАУ,,,ЭЭФ-АИ-202,РВП,РВП-4,
343,927,653957c2a04fb531ff866192,ВолгГТУ,ФЭВТ,12.03.01 Приборостроение,ИИТ-273,РВП,РВП-3,
344,1192,6537d2bcc2f29c6ab8f7c3c5,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-4-20,ППСА,ППСА-10,
345,502,653957c7a04fb531ff866193,КТИ,КТИ,29.03.02 Технологии и проектирование текстильных изделий,КТЛ-201,РВП,РВП-8,
346,89,6538f885a04fb531ff864f91,ВолгГТУ,ХТФ,18.04.01 Химическая технология,ХМНП-1п,ППЦП,ППЦП-6,
347,885,653930eaa04fb531ff865cc1,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭПР-458,СУБД,СУБД-6,
348,1177,6538f889a04fb531ff864f93,ВолгГТУ,ФАСТиВ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТО-324,ППЦП,ППЦП-9,
349,9,6538f88fa04fb531ff864f97,ВолгГМУ,медико-биологический,06.03.01 Биология,201,ППЦП,ППЦП-11,
350,1005,6537d2c1c2f29c6ab8f7c3c7,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-2-22,ППСА,ППСА-5,
351,5,653930efa04fb531ff865cc2,ВГСПУ,не ит,44.04.01 Педагогическое образование,ТЭ-ЦБМV-21,СУБД,СУБД-5,
352,550,6538f894a04fb531ff864f9a,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-443,ППЦП,ППЦП-5,
353,236,6537e34ec2f29c6ab8f7c731,ИАиС,ФТКМ,15.04.01 Машиностроение,ЛПЛ-1п,ПиР_1С,ПИР-7,
354,430,653930f5a04fb531ff865cc4,ВолгГТУ,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-352,СУБД,СУБД-5,
355,946,6537d2c5c2f29c6ab8f7c3ca,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,АД-1-22,ППСА,ППСА-1,
356,37,6538ebd0a04fb531ff8649dd,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-263,СИИ,СИИ-8,
357,221,6537e352c2f29c6ab8f7c733,ВолгГТУ,ФЭВТ,03.03.02 Физика,Ф-469,ПиР_1С,ПИР-8,
358,512,653957cca04fb531ff866194,КТИ,КТИ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТМ-201,РВП,РВП-8,
359,1178,6538f898a04fb531ff864f9c,ВолгГТУ,ФАСТиВ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТО-224,ППЦП,ППЦП-9,
360,923,653957d2a04fb531ff866196,ВолгГТУ,ХТФ,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",РХТ-449,РВП,РВП-2,
361,1166,6537d2cbc2f29c6ab8f7c3cc,ВПИ,ФАМ ВПИ,08.03.01 Строительство,ВСТ-223,ППСА,ППСА-4,
362,109,653957d7a04fb531ff866197,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-342,РВП,РВП-2,
363,201,6537fd16c2f29c6ab8f7ca43,ВолгГТУ,ФАСТиВ,27.03.04 Управление в технических системах,АДП-222,РИС_1С,РИС-4,
364,484,6538ebd5a04fb531ff8649e0,КТИ,КТИ,09.03.01 Информатика и вычислительная техника,КВТ-211,СИИ,СИИ-9,
365,526,6538ebdba04fb531ff8649e3,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-462,СИИ,СИИ-6,
366,912,6538ebe0a04fb531ff8649e8,ВолгГТУ,ФЭУ,38.03.05 Бизнес-информатика,БИ-263,СИИ,СИИ-4,
367,13,653957dca04fb531ff866198,ВГСПУ,,44.03.01 Педагогическое образование,ЕН-БХБ-311,РВП,РВП-6,
368,276,6537d2d1c2f29c6ab8f7c3ce,ВПИ,ФАМ ВПИ,08.03.01 Строительство,ВСТ-223,ППСА,ППСА-4,
369,82,6538f89ca04fb531ff864f9e,ВолгГТУ,ФТКМ,15.04.01 машиностроение,СП-1П,ППЦП,ППЦП-8,
370,641,6537e358c2f29c6ab8f7c735,ВолгГТУ,ФЭУ,38.03.02 Менеджмент,ЭМФ-355,ПиР_1С,ПИР-2,
371,947,6537d2d7c2f29c6ab8f7c3d1,ВолгГТУ,ФТИСиТБ ИАиС,20.05.01 Пожарная безопасность,Пб-1-20,ППСА,ППСА-7,
372,363,6538ebe5a04fb531ff8649ec,ВПИ,ФЭИ ВПИ,09.03.01 Информатика и вычислительная техника,ВВТ-406,СИИ,СИИ-3,
373,161,6538f8a0a04fb531ff864fa0,ВПИ,ФАМ ВПИ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,ВМ-236,ППЦП,ППЦП-2,
374,783,653957e1a04fb531ff866199,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-443,РВП,РВП-2,
375,5,6538ebeba04fb531ff8649f0,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия,ПрИн-266,СИИ,СИИ-2,
376,555,6538ebf0a04fb531ff8649f4,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия,ПрИн-268,СИИ,СИИ-2,
377,537,6538ebf6a04fb531ff8649f7,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-261,СИИ,СИИ-1,
378,174,6538f8a5a04fb531ff864fa2,ВПИ,ФАМ ВПИ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,ВМ-336,ППЦП,ППЦП-2,
379,379,653930faa04fb531ff865cc6,ВолгГТУ,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-351,СУБД,СУБД-5,
380,1004,6538f8aaa04fb531ff864fa6,ВолгГТУ,ФТКМ,22.03.01 Материаловедение и технологии материалов,МВ-231,ППЦП,ППЦП-3,
381,426,6537e35dc2f29c6ab8f7c737,ВолгГТУ,ФАТ,23.03.01 Технология транспортных процессов,АТ-314,ПиР_1С,ПИР-1,
382,761,6538ebfba04fb531ff8649fa,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-361,СИИ,СИИ-7,
383,651,6537e363c2f29c6ab8f7c73a,ВолгГТУ,ФАТ,23.05.01 Наземные транспортно-технологические средства,АТС-311,ПиР_1С,ПИР-2,
384,446,6538f8afa04fb531ff864fa8,ВолгГТУ,ФТКМ,22.03.01 Материаловедение и технологии материалов,МВ-331,ППЦП,ППЦП-6,
385,318,6538ec00a04fb531ff8649fd,ВПИ,ФЭИ ВПИ,09.03.01 Информатика и вычислительная техника,ВВТ-406,СИИ,СИИ-3,
386,505,653957e6a04fb531ff86619a,КТИ,КТИ,13.03.02 Электроэнергетика и электротехника,КЭЛ-201,РВП,РВП-8,
387,47,653930ffa04fb531ff865cc7,ВолгГТУ,ФЭУ,42.03.01 Реклама и связи с общественностью,ЭР-353,СУБД,СУБД-4,
388,846,6538ec05a04fb531ff864a00,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-20,СИИ,СИИ-12,
389,808,6538ec0aa04fb531ff864a03,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-2-22,СИИ,СИИ-13,
390,466,6538f8b5a04fb531ff864faa,ВолгГТУ,ФТКМ,22.03.01 Материаловедение и технологии материалов,МВ-231,ППЦП,ППЦП-3,
391,284,6537d2dcc2f29c6ab8f7c3d3,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,ТГВ-1-20,ППСА,ППСА-2,
394,579,653957eba04fb531ff86619b,ВолгГТУ,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-352,РВП,РВП-4,
395,4,6538ec10a04fb531ff864a06,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия,ПрИн-266,СИИ,СИИ-2,
396,8,6538ec14a04fb531ff864a09,ВолГАУ,ЭМФ (эколого-иелиоративный факультет,09.03.03 Прикладная информатика,ОБПи-221,СИИ,СИИ-8,
397,948,6537d2e6c2f29c6ab8f7c3d7,ВолгГТУ,ФТИСиТБ ИАиС,20.05.01 Пожарная безопасность,Пб-1-20,ППСА,ППСА-7,
398,444,6537e368c2f29c6ab8f7c73d,ВолгГТУ,ФАТ,23.03.01 Технология транспортных процессов,АТ-314,ПиР_1С,ПИР-1,
399,43,6538ec1aa04fb531ff864a0c,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-363,СИИ,СИИ-5,
400,949,6537d2ebc2f29c6ab8f7c3d9,ВолгГТУ,ФТИСиТБ ИАиС,13.03.01 Теплоэнергетика и теплотехника,Тит-1-21,ППСА,ППСА-11,
401,1193,6537d2f1c2f29c6ab8f7c3db,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-2-20,ППСА,ППСА-10,
402,691,653957f0a04fb531ff86619c,ВолгГТУ,ФЭВТ,12.03.01 Приборостроение,ИИТ-273,РВП,РВП-3,
403,264,6537d2f6c2f29c6ab8f7c3dd,ВолгГТУ,ФАГР ИАиС,07.03.01 Архитектура,АРХ-3-21,ППСА,ППСА-1,
404,416,653957f5a04fb531ff86619d,ВолгГТУ,ФЭВТ,03.03.02 Физика,Ф-269,РВП,РВП-9,
405,419,653957f9a04fb531ff86619f,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-443,РВП,РВП-2,
406,463,6537e36dc2f29c6ab8f7c740,ВолгГТУ,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-352,ПиР_1С,ПИР-8,
407,822,6538ec1fa04fb531ff864a0f,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-21,СИИ,СИИ-11,
408,24,65393109a04fb531ff865cca,ВА МВД,подготовки следователей,40.05.01 Правовое обеспечение национальной безопасности,301,СУБД,СУБД-1,
409,847,6538ec24a04fb531ff864a12,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-20,СИИ,СИИ-12,
410,97,6538f8baa04fb531ff864fae,ВолгГМУ,лечебное дело,31.05.01 Лечебное дело,306,ППЦП,ППЦП-10,
411,332,6538ec29a04fb531ff864a15,СФ,СФ,09.03.02 Информационные системы и технологии,ИСТ-21д-22,СИИ,СИИ-10,
412,129,653957fea04fb531ff8661a0,ВолгГТУ,ФЭВТ,12.03.01 Приборостроение,ИИТ-273,РВП,РВП-3,
413,553,6538ec2ea04fb531ff864a17,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-261,СИИ,СИИ-4,
414,138,65395803a04fb531ff8661a2,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,ВиВ-1-20,РВП,РВП-6,
415,31,6538ec33a04fb531ff864a1a,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-263,СИИ,СИИ-8,
416,203,6540b32d8d4312cf6ca30a75,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-260,РИС_1С,РИС-1,
417,780,6537d2fcc2f29c6ab8f7c3e0,ИАиС,ФТИСиТБ ИАиС,13.03.01 Теплоэнергетика и теплотехника,ТиТ-1-20,ППСА,ППСА-3,
418,288,6538ec39a04fb531ff864a1d,СФ,СФ,09.03.02 Информационные системы и технологии,ИСТ-21д-22,СИИ,СИИ-10,
419,1067,65395808a04fb531ff8661a3,КТИ,КТИ,"38.03.01 Экономика
        ",КБА-211 св,РВП,РВП-8,
420,595,6537d302c2f29c6ab8f7c3e2,ИАиС,ФТИСиТБ ИАиС,08.03.01 Строительство,ТГВ-1-20,ППСА,ППСА-2,
421,18,6538f8bfa04fb531ff864fb1,ВолгГМУ,лечебный факультет,31.05.01 Лечебное дело,510,ППЦП,ППЦП-11,
422,558,6537e373c2f29c6ab8f7c743,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭФК-359,ПиР_1С,ПИР-11,
423,950,6537d308c2f29c6ab8f7c3e4,ВолгГТУ,ФТИСиТБ ИАиС,20.05.01 Пожарная безопасность,Пб-1-20,ППСА,ППСА-7,
424,1110,6537d30dc2f29c6ab8f7c3e6,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,СиЭОНО-1-20,ППСА,ППСА-3,
425,1099,6539310ea04fb531ff865ccc,ВолгГТУ,ФАТ,23.03.01 Технология транспортных процессов,АТ-416,СУБД,СУБД-6,
426,763,6538f8c4a04fb531ff864fb3,ВолгГТУ,ФАСТиВ,27.04.01 Стандартизация и метрология,СМ-2,ППЦП,ППЦП-5,
427,52,6538ec3ea04fb531ff864a22,ВПИ,ФЭИ ВПИ,09.03.01 Информатика и вычислительная техника,ВВТ-206,СИИ,СИИ-3,
428,1194,6537d312c2f29c6ab8f7c3e8,ВолгГТУ,ФСиЖКХ ИАиС,15.03.02 Технологические машины и оборудование,МНС-1-21,ППСА,ППСА-11,
429,471,6538ec43a04fb531ff864a26,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-362,СИИ,СИИ-7,
430,15,65393112a04fb531ff865ccd,ВА МВД,подготовки экспертов-криминалистов и оперативных сотрудников полиции (ФПЭК и ОСП),40.05.02 Правоохранительная деятельность,441,СУБД,СУБД-2,
431,658,6537e377c2f29c6ab8f7c747,ВолгГТУ,ФАТ,23.05.01 Наземные транспортно-технологические средства,АТС-311,ПиР_1С,ПИР-2,
432,1090,6537d317c2f29c6ab8f7c3eb,ВПИ,ФАМ ВПИ,08.03.01 Строительство,ВСТ-323,ППСА,ППСА-4,
433,412,6537e37dc2f29c6ab8f7c749,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭФК-359,ПиР_1С,ПИР-11,
434,1011,6538ec49a04fb531ff864a2a,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-260,СИИ,СИИ-5,
435,1071,6539580da04fb531ff8661a4,КТИ,КТИ,"38.03.01 Экономика
        ",КБА-211 св,РВП,РВП-8,
436,290,6538ec4ea04fb531ff864a2e,СФ,СФ,09.03.02 Информационные системы и технологии,ИСТ-31д-21,СИИ,СИИ-10,
438,148,65395812a04fb531ff8661a5,ВПИ,ФЭИ ВПИ,38.03.01 Экономика,ВЭ-311,РВП,РВП-5,
439,951,6537d31dc2f29c6ab8f7c3ed,ВолгГТУ,ФТИСиТБ ИАиС,20.03.01 Техносферная безопастность,ТБ-1-20,ППСА,ППСА-7,
440,750,65395817a04fb531ff8661a7,ВолгГТУ,ХТФ,18.04.01 Химическая технология,СХТМ-2.4п,РВП,РВП-2,
441,506,6539581ca04fb531ff8661a9,КТИ,КТИ,13.03.02 Электроэнергетика и электротехника,КЭЛ-201,РВП,РВП-8,
442,722,65393118a04fb531ff865cce,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭФК-459,СУБД,СУБД-6,
443,212,6540fd168d4312cf6ca3171f,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия ,ПрИн-366,РИС_1С,РИС-3,
444,600,6538f8c9a04fb531ff864fb5,ВолгГТУ,ФАСТИВ,15.04.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТО-2н,ППЦП,ППЦП-4,
445,267,6537d322c2f29c6ab8f7c3f0,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-4-20,ППСА,ППСА-5,
446,145,65395821a04fb531ff8661ab,ВПИ,ФЭИ ВПИ,18.03.01 Химическая технология,ВХТ-301,РВП,РВП-7,
447,920,65395826a04fb531ff8661ad,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-443,РВП,РВП-2,
448,1018,6538ec53a04fb531ff864a31,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-260,СИИ,СИИ-5,
449,645,6539311da04fb531ff865cd0,ВолгГТУ,ФЭУ,38.03.01 Экономика,Э-256,СУБД,СУБД-7,
450,389,6537e382c2f29c6ab8f7c74a,ВолгГТУ,ФАТ,23.03.01 Технология транспортных процессов,АТ-314,ПиР_1С,ПИР-1,
451,26,65393122a04fb531ff865cd4,ВА МВД,факультет подготовки иностранных специалистов,40.05.03 Судебная экспертиза,525,СУБД,СУБД-1,
452,193,65393128a04fb531ff865cd6,ВолгГТУ,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-252,СУБД,СУБД-6,
453,142,65395829a04fb531ff8661ae,ВПИ,ФАМ ВПИ,22.03.02 Металлургия,ВМД-328,РВП,РВП-7,
454,1104,6537d327c2f29c6ab8f7c3f2,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-3-22,ППСА,ППСА-8,
455,515,6538ec58a04fb531ff864a35,СФ,СФ,09.03.02 Информационные системы и технологии,Ист-21-22,СИИ,СИИ-10,
456,654,6537e387c2f29c6ab8f7c74c,ВолгГТУ,ФАТ,23.05.01 Наземные транспортно-технологические средства,АТС-311,ПиР_1С,ПИР-2,
457,699,6539312da04fb531ff865cd8,ВолгГТУ,ФЭУ,38.03.01 Экономика,Э-256,СУБД,СУБД-7,
458,1076,6538ec5ea04fb531ff864a3b,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия,ПрИн-267,СИИ,СИИ-14,
459,876,63a4bb7cf099bd63acef5275,ВолгГТУ,ФАСТиВ,27.03.04 Управление в технических системах,УТС-320,РИС_1С,РИС-4,
460,41,6537e38cc2f29c6ab8f7c74f,ВолгГМУ,Лечебное дело,31.05.01 Лечебное дело,415,ПиР_1С,ПИР-10,
461,906,6538f8cea04fb531ff864fb7,ВолгГТУ,ФАСТиВ,"17.05.02 Стрелково-пушечное, артелерийское и ракетное оруджие",СПО-301,ППЦП,ППЦП-5,
462,91,6538f8d3a04fb531ff864fb9,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-241,ППЦП,ППЦП-8,
463,400,6539582ea04fb531ff8661af,ВолгГТУ,ХТФ,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",РХТ-248,РВП,РВП-1,
464,12,6538ec63a04fb531ff864a3e,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия,ПрИн-266,СИИ,СИИ-2,
465,404,653a86a7a60567b8674b92e9,ВолгГТУ,ХТФ,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",РХТ-248,РВП,РВП-1,
466,177,6538f8d8a04fb531ff864fbb,ВПИ,ФЭИ ВПИ,18.04.01 Химическая технология,ВТПЭ-1,ППЦП,ППЦП-2,
467,62,6538ec69a04fb531ff864a42,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-260,СИИ,СИИ-5,
468,542,65393133a04fb531ff865cda,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭПР-358,СУБД,СУБД-4,
469,93,6538f8dda04fb531ff864fbf,ВолгГТУ,ХТФ,18.04.01 Химическая технология,ТОНСМ-1.2п,ППЦП,ППЦП-5,
470,1081,6537e390c2f29c6ab8f7c752,ВолгГТУ,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-452,ПиР_1С,ПИР-1,
471,364,6538ec6da04fb531ff864a45,ВПИ,ФЭИ ВПИ,09.03.01 Информатика и вычислительная техника,ВВТ-406,СИИ,СИИ-3,
472,367,6537e395c2f29c6ab8f7c754,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭПР-358,ПиР_1С,ПИР-6,
473,1048,6538f8e2a04fb531ff864fc1,ВПИ,ФАМ ВПИ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,ВМ-336,ППЦП,ППЦП-2,
474,836,6538ec73a04fb531ff864a49,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-2-21,СИИ,СИИ-11,
475,1195,6537d32bc2f29c6ab8f7c3f4,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-2-20,ППСА,ППСА-10,
476,541,65393138a04fb531ff865cdb,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭПР-358,СУБД,СУБД-4,
477,823,6538ec78a04fb531ff864a4e,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-21,СИИ,СИИ-11,
478,889,6538ec7da04fb531ff864a52,ВолгГТУ,ФАСТиВ,27.03.04 Управление в технических системах,МиР - 322,СИИ,СИИ-2,
479,1196,6537d330c2f29c6ab8f7c3f6,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-1-20,ППСА,ППСА-10,
480,837,6541f8fb9c1990ec63a54d0a,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-2-21,РИС_1С,РИС-3,
481,92,6538f8e7a04fb531ff864fc3,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-241,ППЦП,ППЦП-8,
482,698,6539313da04fb531ff865cdd,ВолгГТУ,ФЭУ,38.03.01 Экономика,Э-256,СУБД,СУБД-7,
483,321,6538ec82a04fb531ff864a56,ВолгГТУ,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-2-22,СИИ,СИИ-13,
484,38,6538ec88a04fb531ff864a5a,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-263,СИИ,СИИ-8,
485,433,65393142a04fb531ff865ce4,ВолгГТУ,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-351,СУБД,СУБД-5,
486,1014,6537d335c2f29c6ab8f7c3f8,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-2-22,ППСА,ППСА-5,
487,632,65393147a04fb531ff865ce6,ВолгГТУ,ФАТ,23.03.03 Эксплуатация транспортно-технологических машин и комплексов,АТ-312,СУБД,СУБД-3,
488,725,6539314ca04fb531ff865ce7,ВолгГТУ,ФЭУ,38.03.01 Экономика,Э-256,СУБД,СУБД-7,
489,273,6538ec8da04fb531ff864a5f,ВолгГТУ,ФАСТиВ,27.03.04 Управление в технических системах,АДП-222,СИИ,СИИ-14,
490,41,6538ec93a04fb531ff864a63,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-263,СИИ,СИИ-8,
491,132,65395838a04fb531ff8661b2,ВолгГТУ,ФПИК,38.03.02 Менеджмент,ММв-351,РВП,РВП-4,
493,848,6540b1138d4312cf6ca30a51,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-20,РИС_1С,РИС-3,
494,1148,6537d33bc2f29c6ab8f7c3fa,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,АД-1-20,ППСА,ППСА-9,
495,165,6538f8eba04fb531ff864fc5,ВПИ,ФАМ ВПИ,15.03.04 Автоматизация технологических процессов и производств,ВАУ-226,ППЦП,ППЦП-1,
496,343,6538ec99a04fb531ff864a67,ВПИ,ФЭИ ВПИ,09.03.04 Программная инженерия,ВИП-208,СИИ,СИИ-3,
497,604,6537e39ac2f29c6ab8f7c756,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-1-20,ПиР_1С,ПИР-7,
498,1102,6537d341c2f29c6ab8f7c3fd,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-3-22,ППСА,ППСА-8,
499,952,6537d346c2f29c6ab8f7c3ff,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,АД-1-22,ППСА,ППСА-1,
500,21,65393151a04fb531ff865cea,ВА МВД,подготовки экспертов-криминалистов и оперативных сотрудников полиции (ФПЭК и ОСП),40.05.02 Правоохранительная деятельность,342,СУБД,СУБД-1,
501,1140,6537d34bc2f29c6ab8f7c402,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,ОТИ-1-21,ППСА,ППСА-9,
502,423,65393156a04fb531ff865ced,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭФК-459,СУБД,СУБД-6,
503,440,6539315ba04fb531ff865cee,ВолгГТУ,ФАТ,23.03.01 Технология транспортных процессов,АТ-314,СУБД,СУБД-3,
504,625,65393161a04fb531ff865cef,ВолгГТУ,ФЭУ,38.03.01 Экономика,Э-256,СУБД,СУБД-7,
505,134,6539583ca04fb531ff8661b3,ВолгГТУ,ФПИК,38.04.02 Менеджмент,УЧР-2,РВП,РВП-4,
506,1109,6537d351c2f29c6ab8f7c404,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,СиОНО-1-20,ППСА,ППСА-3,
507,871,65395841a04fb531ff8661b4,ВолгГТУ,ФПИК,38.03.02 Менеджмент,ММв-251с,РВП,РВП-4,
508,188,65393166a04fb531ff865cf1,ВолгГТУ,ФПИК,38.03.01 Экономика,ЭУв-282с,СУБД,СУБД-2,
509,953,6537d356c2f29c6ab8f7c406,ВолгГТУ,ФТИСиТБ ИАиС,20.03.01 Техносферная безопастность,ТБ-2-21,ППСА,ППСА-6,
510,66,6538f8f0a04fb531ff864fc7,ВолгГМУ,,31.05.01 Лечебное дело,506,ППЦП,ППЦП-10,
511,435,6537e39ec2f29c6ab8f7c759,ВолгГТУ,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-352,ПиР_1С,ПИР-8,
512,530,6538ec9da04fb531ff864a6b,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-361,СИИ,СИИ-7,
513,1027,6538eca2a04fb531ff864a6f,СФ,СФ,09.03.02 Информационные системы и технологии,ИСТ-41д-20,СИИ,СИИ-10,
514,798,6538eca8a04fb531ff864a73,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-22,СИИ,СИИ-13,
515,8,6538ecada04fb531ff864a77,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия,ПрИн-266,СИИ,СИИ-2,
516,791,6538f8f5a04fb531ff864fc9,ВолгГТУ,ФТКМ,22.04.02 Металлургия,ЛПМ-2н,ППЦП,ППЦП-7,
517,485,6538ecb2a04fb531ff864a7b,КТИ,КТИ,09.03.01 Информатика и вычислительная техника,КВТ-211,СИИ,СИИ-9,
518,53,6538ecb8a04fb531ff864a7f,ВПИ,ФЭИ ВПИ,09.03.01 Информатика и вычислительная техника,ВВТ-206,СИИ,СИИ-3,
519,511,65395846a04fb531ff8661b5,КТИ,КТИ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТМ-201,РВП,РВП-8,
520,1197,6537d35bc2f29c6ab8f7c408,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-3-20,ППСА,ППСА-10,
521,954,6537d360c2f29c6ab8f7c40a,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,ТГВ-1-21,ППСА,ППСА-6,
522,686,6538ecbea04fb531ff864a84,ВолгГТУ,ФЭУ,38.03.05 Бизнес-информатика,БИ-263,СИИ,СИИ-4,
523,627,6539316ba04fb531ff865cf2,ВолгГТУ,ФЭУ,38.03.01 Экономика,Э-256,СУБД,СУБД-7,
524,1108,6537d366c2f29c6ab8f7c40c,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,СиЭОНО-1-21,ППСА,ППСА-3,
525,401,6539584ca04fb531ff8661b8,ВолгГТУ,ХТФ,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",РХТ-248,РВП,РВП-1,
526,721,6538ecc4a04fb531ff864a89,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-461,СИИ,СИИ-6,
527,810,6538ecc9a04fb531ff864a8e,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-2-22,СИИ,СИИ-13,
