п/п,№,ФИО,ВУЗ/ филиал,ВУЗ/ филиал,Код направления,Группа ООП 2023-2024,Программа ЦК,Группа ЦК,
43,700,653956e0a04fb531ff866156,ВолгГТУ,ФЭУ,38.03.01 Экономика,Э-256,РВП,РВП-9,
44,1112,6537d1a9c2f29c6ab8f7c350,ИАиС,ФСиЖКХ ИАиС,15.03.02 Технологические машины и оборудование,МНС-1-21,ППСА,ППСА-2,
45,4,65368e92e5c39656e881883c,ВолГАУ,,09.03.03 Прикладная информатика,ЭМФПИ221,СИИ,СИИ-8,
46,523,6540af3b8d4312cf6ca30a0b,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-260,РИС_1С,РИС-1,
47,80,6538f79da04fb531ff864f14,ВолгГМУ,фармацевтический,33.05.01 Фармация,401,ППЦП,ППЦП-10,
48,1170,6538f7a2a04fb531ff864f16,ВолгГТУ,ФАСТиВ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТО-224,ППЦП,ППЦП-9,
49,238,6537e22fc2f29c6ab8f7c6de,ВолгГТУ,ФТКМ,22.04.02 Металлургия,ЛПМ-1Н,ПиР_1С,ПИР-1,
50,35,6538eb04a04fb531ff864951,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-263,СИИ,СИИ-8,
51,577,6537e234c2f29c6ab8f7c6df,ВолгГТУ,ФЭУ,38.03.02 Менеджмент,ЭМФ-355,ПиР_1С,ПИР-2,
52,653,6537e239c2f29c6ab8f7c6e0,ВолгГТУ,ФАТ,23.05.01 Наземные транспортно-технологические средства,АТС-311,ПиР_1С,ПИР-2,
53,1185,6537d1adc2f29c6ab8f7c352,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-1-20,ППСА,ППСА-11,
54,1065,653956e5a04fb531ff866158,КТИ,КТИ,"38.03.01 Экономика
        ",КБА-211 св,РВП,РВП-8,
55,1141,6537d1b2c2f29c6ab8f7c355,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,ВиВ-1-21,ППСА,ППСА-9,
56,582,653956eaa04fb531ff866159,ИАиС,ФТИСиТБ ИАиС,08.03.01 Строительство,АД-1-22,РВП,РВП-6,
57,373,653ba6fbae6c19d5ddcb8159,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-260,РИС_1С,РИС-1,
58,226,6537e23ec2f29c6ab8f7c6e1,ВолгГТУ,ХТФ,18.04.01 Химическая технология,ХТОВ.2.1н,ПиР_1С,ПИР-3,
59,528,6537e243c2f29c6ab8f7c6e2,ВолгГТУ,ФАТ,23.03.01 Технология транспортных процессов,АТ-314,ПиР_1С,ПИР-1,
60,545,65393046a04fb531ff865c8f,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭФК-459,СУБД,СУБД-6,
61,888,6537e248c2f29c6ab8f7c6e3,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭПР-458,ПиР_1С,ПИР-10,
62,13,6539304ba04fb531ff865c90,ВА МВД,подготовки экспертов-криминалистов и оперативных сотрудников полиции (ФПЭК и ОСП),40.05.03 Судебная экспертиза,424,СУБД,СУБД-2,
63,97,653956eea04fb531ff86615b,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-241,РВП,РВП-1,
64,932,6537d1b7c2f29c6ab8f7c357,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,АД-1-22,ППСА,ППСА-1,
65,462,6537e24cc2f29c6ab8f7c6e5,ВолгГТУ,ФТКМ,22.03.02 Металлургия,М-333,ПиР_1С,ПИР-10,
66,1008,6537d1bcc2f29c6ab8f7c358,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-2-22,ППСА,ППСА-5,
67,696,6538eb09a04fb531ff864954,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-462,СИИ,СИИ-6,
68,186,65393050a04fb531ff865c93,ВолгГТУ,ФПИК,38.03.01 Экономика,ЭУв-281с,СУБД,СУБД-2,
69,884,65393055a04fb531ff865c94,ВолгГТУ,ФЭУ,38.03.01 Экономика,Э-256,СУБД,СУБД-7,
70,354,653956f2a04fb531ff86615d,ВПИ,ФЭИ ВПИ,08.03.01 Строительство,ВСТ-323,РВП,РВП-5,
71,280,6538eb0da04fb531ff864957,ВолгГТУ,ФЭУ,38.03.05 Бизнес-информатика,БИ-263,СИИ,СИИ-4,
72,112,653956f7a04fb531ff86615e,ВолгГТУ,ХТФ,18.04.01 Химическая технология,ТОНСМ-1.2п,РВП,РВП-2,
74,905,6538f7a7a04fb531ff864f19,ВолгГТУ,ФТКМ,22.04.02 Металлургия,ТМ-2н,ППЦП,ППЦП-7,
75,933,6537d1c1c2f29c6ab8f7c35a,ВолгГТУ,ФТИСиТБ ИАиС,20.05.01 Пожарная безопасность,Пб-1-20,ППСА,ППСА-7,
76,1073,6537e251c2f29c6ab8f7c6e6,ВолгГТУ,ФАТ,23.03.01 Технология транспортных процессов,АТ-416,ПиР_1С,ПИР-9,
77,14,6539305aa04fb531ff865c96,ВА МВД,подготовки экспертов-криминалистов и оперативных сотрудников полиции (ФПЭК и ОСП),40.05.03 Судебная экспертиза,524,СУБД,СУБД-1,
79,,6538eb12a04fb531ff86495b,ВолГАУ,ЭМФ,09.03.03 Прикладная информатика,ЭМФомПИВ221,СИИ,СИИ-8,
80,911,6537e25bc2f29c6ab8f7c6e8,ВолгГТУ,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-251А,ПиР_1С,ПИР-9,
81,567,6537e25fc2f29c6ab8f7c6e9,ВолгГТУ,ФЭУ,38.03.02 Менеджмент,"ЭМФ-355",ПиР_1С,ПИР-2,
82,27,6537e263c2f29c6ab8f7c6ea,ВолГАУ,,Бакалавриат,ЭЭФобАИ212,ПиР_1С,ПИР-6,
83,666,6538f7aca04fb531ff864f1b,ВолгГТУ,ФТКМ,22.03.02 Металлургия,М-335,ППЦП,ППЦП-5,
84,118,653956fca04fb531ff86615f,ВолгГТУ,ХТФ,"18.04.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",ХМАМ-1п,РВП,РВП-3,
85,86,6538f7b1a04fb531ff864f1d,ВолгГТУ,ХТФ,18.04.01 Химическая технология,Пинм 1п,ППЦП,ППЦП-5,
86,746,6537e268c2f29c6ab8f7c6eb,ВолгГТУ,ФТКМ,15.03.01 Машиностроение,МС-228,ПИР_1С,ПИР-3,
87,934,6537d1c7c2f29c6ab8f7c35e,ВолгГТУ,ФТИСиТБ ИАиС,20.05.01 Пожарная безопасность,Пб-1-20,ППСА,ППСА-7,
88,1115,6461e664676e1fae65ef69ca,ИАиС,ФСиЖКХ ИАиС,15.03.02 Технологические машины и оборудование,МНС-1-21,ППСА,ППСА-2,
89,42,6538eb16a04fb531ff86495e,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-363,СИИ,СИИ-5,
90,141,65395701a04fb531ff866160,ВПИ,ФАМ ВПИ,22.03.02 Металлургия,ВМД-328,РВП,РВП-7,
91,167,6538f7b6a04fb531ff864f20,ВПИ,ФАМ ВПИ,22.03.02 Металлургия,ВМД-228,ППЦП,ППЦП-2,
92,935,6537d1d1c2f29c6ab8f7c361,ВолгГТУ,ФТИСиТБ ИАиС,20.05.01 Пожарная безопасность,Пб-1-20,ППСА,ППСА-7,
